Gene_name,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth
Gene1,9104.774619,5224.114486,1472.348466,2487.124686,1872.328747,1675.724728,3775.885073,5015.202216,883.5716868,1607.790858,2345.478241,2772.362496,4131.51741,1252.440598,2522.690637,5073.883098,425311.6814,568932.9398,122134.1915,169927.1836,262933.2464,214706.0479,714429.1231,289197.5101,715846.9379,3638959.771,212282.9566,16786.7814,608877.6159,34366.94761,804665.2294,282406.959
Gene2,35924.12358,35625.73119,137571.5525,147604.774,235675.6461,35931.1852,169672.9921,137455.0032,45920.44167,146627.0588,91047.57303,15511.96753,48601.7059,54794.36695,5875.285534,123711.6004,168543.1882,45304.88439,28308.03274,45197.52774,158400.4228,143673.8503,36634.52028,143164.3392,15532.68918,15006.84293,116792.6864,35323.62277,118241.7511,2392.397158,495172.4442,53666.86155
Gene3,6.780294688,18.35291351,20.78531289,3.574347972,9.834667594,9.91026361,5.41305941,2.995124554,6.399646876,1.967559425,12.33867961,15.64843017,21.66175797,2.925615978,9.792922575,5.890771009,166.8352595,404.4980873,357.7206992,240.1006394,443.0272255,275.9076406,236.820335,586.1918335,436.040401,1079.841345,123.1310732,516.5337293,854.1844068,638.4181624,162.5868335,519.1750148
Gene4,1284.690716,511.9272679,3019.140256,1371.576262,583.1631957,1634.038443,929.2125312,1113.882634,892.313155,1237.299298,663.576224,4143.085461,2250.0628,708.0342528,2714.201176,1195.792227,1176.233412,1197.230962,2310.526714,733.9206153,891.1232609,509.1443524,891.0628099,639.6220097,637.341809,1175.878779,386.8600745,3371.494833,215.1862549,258.2351417,3109.471172,1012.499417
Gene5,69.50341155,186.7270146,146.9615338,210.6773417,120.6931223,58.04818134,97.72621248,83.17636201,117.1104906,90.8941744,384.5839119,169.545757,316.0677196,211.822519,143.2851759,287.7109729,125.5244557,105.9836866,118.2915389,288.6924,71.90300641,180.6684323,207.1598487,249.4289424,31.49748336,223.5245822,107.6541333,294.61564,143.9014681,192.6550225,193.3119134,67.92507015
Gene6,3935.107345,47611.65544,108935.1303,82831.97458,75874.49936,23502.78972,46023.7009,14048.19237,10825.47974,32747.04713,6692.728154,22484.03574,16612.6508,14021.28425,9579.339403,3097.890319,19949.34919,5738.391607,13176.17985,64421.81254,16415.93812,13300.87783,6812.514554,17494.3771,54347.31814,128649.1133,28767.57333,22522.34496,61019.15186,90144.8469,25165.50156,23970.86019
Gene7,182.3814917,547.689921,1884.53976,385.7749975,1373.219147,217.9639067,2126.904579,331.237957,1598.074243,676.8425182,804.2483149,781.6150026,114.4731029,69.67934236,712.5351777,685.0443812,16127.15593,6969.446343,91078.49463,17234.0161,16723.41187,24279.02764,55244.66096,46998.36133,9927.155066,27693.19502,62570.04385,35006.55874,30105.20515,2343.209009,31676.08086,16469.75072
Gene8,121419026.8,3768981.708,91865418.38,2049580.878,42069630.18,1995765.322,108456539.8,6332045.121,204027706.6,15659146.72,1165604.064,4306245.791,281790.1038,1551757.192,4535308.116,80318199.09,1426615411,1335956867,50082492.08,92713923.74,450974132.6,260134439.1,581323824.1,551571419.6,1267679590,2481094192,222582831.1,9612407.131,105691337.7,4177657665,16172953168,51395764.52
Gene9,149.0831687,62.62751458,61.46324164,160.7291568,183.2641032,47.99179041,71.88108015,63.61924332,125.2968091,93.64030481,93.43118717,30.49934127,70.491918,294.7349084,38.38459973,159.5775699,4060.845228,3512.373257,761.7581673,616.0146856,3310.618525,1680.350464,1155.154036,7113.527541,3155.138561,2469.376424,2088.144743,16881.01437,818.1299616,3219.495261,1799.330614,9641.760712
Gene10,290.8894762,22.01496573,66.61596953,44.44802095,56.78097378,183.1175217,99.91941698,49.80894915,58.98588565,75.01046382,186.6091958,45.24816399,128.4655995,33.2120738,47.84377747,61.79865469,2480.150101,6015.134967,932.6632978,1601.428198,2266.198339,5596.031867,8525.082493,13165.84985,339.2219736,13705.52355,2424.672787,2037.663063,4853.106725,8309.499421,3483.320954,2382.363337
