Gene name	CMC_heart_24h_MI_16_011_S11	CMC_heart_24h_MI_20_012_S12	CMC_heart_24h_MI_30_013_S13	CMC_heart_24h_MI_32_014_S14	CMC_heart_24h_MI_34_015_S15	CMC_heart_24h_SHAM_13_016_S16	CMC_heart_24h_SHAM_17_017_S17	CMC_heart_24h_SHAM_19_018_S18	CMC_heart_24h_SHAM_21_019_S19	CMC_heart_24h_SHAM_25_020_S20
0610009B22Rik	236.00012	282.99954	239.9996	259.73397	389.00045	234.435	241	163	143	331.79
0610010F05Rik	232.036	292.49	283.30866	296.30258	495.41215	147.70619	166.7000771	127.1511866	149.7671	206.4735
0610010K14Rik	100.26692	114.0165	123.94622	121.03657	171.34999	82.50552	68.74397	59.98539	60.96039	100.58792
0610012G03Rik	498	586.429	432.999	522.088	666.904	430	391.882	293	311.389	550.781
0610030E20Rik	71.0197	122.929	111.631	113.016	184.37	72.5786	52.2563	38.5994	58.2353	69.1292
0610037L13Rik	224.95928	399.81024	390.6617	380.86502	578.35824	153.5227	167.40115	140.6883	135.3015	249.62082
0610040J01Rik	43	44.00004	29.00005	38.99995	56.99998	32.00002	35.99998	12	22	32.99996
1110002E22Rik	2244.47	4897.71	5214.36	6008.22	8392.59	868.614	709.627	681.971	638.939	1458.36
1110004F10Rik	755.0000004	1105.60234	1111.00398	1165.90231	1565.41398	554.99996	496.90759	340.0001413	452.99981	653.0003
1110008L16Rik	123.99999	159.99999	185.0003047	150.42828	232.39408	84.99995	74.15704	64	88.00003217	128.1990006
1110008P14Rik	247.3911	350.89637	294.59491	310.90191	448.94232	166.87836	156.71056	112.13329	114	198.4781
1110012L19Rik	213	185	175	152	221	140	166	108	134	147
1110017D15Rik	0	0	0	0	0	0	0	0	0	0
1110025L11Rik	0	0	0	0	0	0	0	0	0	0
1110032A03Rik	161.74911	155.406	123.6678	143.9109	181.2878	140.5458	103.582337	80.359	105.7988	139.6257
1110032F04Rik	5	9	7	8	13	6	4	4	6	9
1110038F14Rik	0	0	0	0	0	0	0	0	0	0
1110051M20Rik	63.8789	134.021	78.3164	82.834	125.8355	94.1066	74.9906	57.40566	72.5794	89.5787
