Gene name	1-Control7D-1	12-Control14D-4	13-Bleo14D-1	15-Bleo14D-3	16-Bleo14D-4	17-Bleo14D-5	18-Bleo14D-6	22-Control21D-6	11-Control14D-3	32-Control28D-8
0610009B22Rik	238	188.00043	224.00044	229.9999	214	198	202.0005	222.00038	206	225.0001
0610010K14Rik	444.527	376.26924	407.3687612	340.64116	332.26266	324.07121	405.67961	508.0459	341.09072	470.0437
0610012G03Rik	463.996	475.553	578.626	729.932	504.922	501.308	595.996	501.362	486.5	521.598
0610030E20Rik	841.835	788.467	611.647	659.264	708.747	721.745	784.661	881.77	734.868	818.262
0610040J01Rik	287	314.19488	291.1916	223.9997	237.99988	276.99991	315.00017	331	291.99966	338.0001
1110002E22Rik	26.3659	30	24.7402	18	16.4879	19	32.1526	14	18	30
1110004F10Rik	1610.55073	1641.7049	1878.4136	2023.64049	1799.6489	1644.5164	1861.598	1760.66519	1480.83641	1778.36075
1110017D15Rik	22.5825	37.25507	7.71205	6.09318	19.0907	8.065904838	13.18686	22.66658	19.6994	25.72421
1110025L11Rik	0	0	0	0	0	0	0	0	0	0
1110032A03Rik	432.71401	355.8204	304.9063	414.9538	307.36007	334.22	377.63263	407.08344	394.0889	442.8603
1110032F04Rik	16	24	30	16	38	24	28	15	18	13
1110038F14Rik	419.94756	457.79487	400.89962	424.99293	342.05437	396.44044	392.5342	503.85225	392.63602	512.15153
1110051M20Rik	415.6014	398.8794	326.4172	285.5678	285.1248	345.974	427.3308	464.5634	418.4525	480.1541
1110057P08Rik	0	0	0	0	0	0	0	0	0	0
1110059E24Rik	429.177	382.756	367.58	368.49741	338.74875	333.62669	460.02208	448.17229	385.0937	461.2298
1110059G10Rik	317.7659	262.0235	268.5778	342.5901	270.7796	246.2424	262.3003	244.0597	247.6563	308.9568
1110065P20Rik	214.8585	224.8379	307.7263	354.0281	245.4268	284.542	243.1668	255.9094	253.3792	218.0692
1190005I06Rik	13	12.8612	17.3458	11.0575	7.37392	13.6176	13.9826	11.8441	12.22654	9.50247
1190007I07Rik	61.3302	86.99996	70.50009	62.00003	64.41702	68.99993	77.99726	101.86415	80.07161	95.99997
1300017J02Rik	1	3	3.729082	0	9	5.000004	8	2.33729	6.8865	5.999998
1500009C09Rik	7	1	2	0	2	4	5	5	3	3
1500009L16Rik	35	37.99998	147.966	175.9789	143.0002	89.00004	97.96403	36.96288	48.963591	49.9804
1500011B03Rik	109.879	94.5988	130.983	148.8770601	124.371	142.101143	164.2922626	122.04296	137	127.65801
1520401A03Rik	0	0.820096	2	4.3169	0.973343	2.51566	0	0	3	0
1600012H06Rik	730.805	769.9999	938.4121	1087.0378	927.3739	858.9999	970.228	949.0005	793	897.4063
1600014C10Rik	519.00039	534.00014	1061.0002	789	808.0007	868.0001	877.9992	539.8209	474.00071	666.99995
1600014C23Rik	0	0	0	0.5	0	0	0	0	0	0.5
1700001C19Rik	1.39086	2.09233	10.3065	5.3176	6.31708	4.2857	8.75433	2.8712	0	5.92764
1700001F09Rik	0	0	0	0	0	0	0.115823	0	0	0
1700001J03Rik	22	14.5444	6	8	9	5	4	12.7344	15.4706	16
1700001K19Rik	26.99999	38	17.00004	14	22	18.99996	9	25	40	34
1700001L19Rik	83	87	58	50	74	58	52	86	61	78
1700001O22Rik	18.6398	4.44023	10.9913	6	14.7549	9.93129	18.1505	4.60916	3.58517	6.28911
1700001P01Rik	0	3	1	9	4	1	4	1	0	3
1700003E16Rik	202.9997	156	105	88	95	125	172.0002	203	178.9997	195.9996
1700003F12Rik	1	5	8	13.92512	3.73838	8.28867	4.169	1	3	7
1700003H04Rik	0	0	0	0	2	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0	0	0	0	0
1700007K13Rik	289.2781	260.9258	182.9996	170.5493	183.5857	158.9072	189.0344	397.6557	232.9624919	326.3253
1700008O03Rik	5	0	4	0	1	5.77039	2.76877	2	0	2
1700008P02Rik	0	0	0	0	0	0	0	0	0	0
1700009N14Rik	0	0	0	1	1	1	0	0	0	0
1700010B08Rik	0	0	1	0	0	0	0	1	0	1
1700010I14Rik	39.99997	35.00003	49.99999	62.00369	44.00197	45.00001	40.00188	37.00003	39.99996	3.90E-07
1700011L22Rik	1	3	1	0	3	0	0	1	0	1
1700011M02Rik	0	1	0	0	0	0	0	0	0	0
